Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
HOC-MO	1.83	-3.01	1.32	11.59	0.25	-0.21	Involved persuasion
HOC-MP	0.100000000000001	-1.06	5.08	7.48	1.16	-2.43	Involved persuasion
HOC-MQ	-1.81	0.0599999999999996	3.87	4.6	1.99	0.29	Involved persuasion
HOC-MR	-3.1	-5.05	6.69	5.59	2.05	-0.83	Involved persuasion
HOC-MS	-1.78	-0.49	3.53	6.23	3.42	1.74	Involved persuasion
HOC-MT	-1.58	-0.37	4.81	4.94	3.5	0.95	Involved persuasion
HOC-MU	-3.27	-1.14	5.51	-0.91	1.16	-0.51	General narrative exposition
HOC-MV	0.509999999999999	-2.68	2.77	5.27	2.36	0.12	Involved persuasion
HOC-MW	7.04	-1.01	3.38	5.05	0.88	0.33	Involved persuasion
HOC-MX	-0.34	-1.85	1.39	7.17	1.97	-0.22	Involved persuasion
CORPUS	0.36	-1.36	3.27	5.57	1.22	0.18	Involved persuasion
