Filename	AMP	ANDC	AWL	CAUS	CONC	COND	CONJ	DEMO	DEMP	DPAR	DWNT	EMPH	EX	FPP1	GER	HDG	INPR	JJ	NEMD	NN	NOMZ	OSUB	PHC	PIN	PIT	PLACE	POMD	PRED	PRMD	RB	SPP2	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	TTR	VBD	VPRT	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	Underused_variables	Overused_variables	
JSC-12B-09O	-0.58	-0.19	0.45	2.82	-0.63	-0.05	4.44	1.60	-0.46	0.00	-0.50	1.05	-0.56	0.69	-1.84	-0.46	-0.70	0.38	4.10	0.84	0.60	1.27	0.93	-1.26	0.39	-0.56	0.03	0.04	2.62	-2.38	-0.46	-1.06	1.50	5.00	1.23	1.37	4.64	0.04	-0.50	0.27	-0.54	-0.05	0.75	-1.23	0.31	-0.34	0.17	-0.25	0.17	-0.64	0.12	2.50	0.17	0.56	-0.25	-0.80	-1.24	0.00	-0.74	1.74	1.27	-0.60	-0.12	-0.33	-1.05	-0.81	-0.89	RB 	CAUS CONJ NEMD PRMD THVC TOBJ [PRIV] 
JSC-13A-01N	0.77	0.13	-0.05	2.82	0.00	0.59	3.50	2.31	0.02	-0.52	0.62	1.98	0.72	1.28	-1.26	0.00	-0.70	-0.30	4.81	1.06	-0.23	0.64	0.56	-0.89	0.01	0.29	-0.26	4.27	-0.81	-1.65	-0.62	0.00	3.67	0.90	-1.09	0.09	0.45	-0.99	0.62	-0.79	-0.21	-0.03	1.46	-0.04	1.31	-0.27	-0.11	0.25	-1.08	-0.64	-0.29	1.88	-0.69	0.33	1.00	-0.80	-1.52	2000.00	-0.41	-0.16	0.78	1.00	-0.35	0.50	0.35	-0.45	0.06		CAUS CONJ DEMO NEMD PRED THAC [SPIN] 
JSC-13A-01O	4.19	0.33	0.05	0.24	-0.63	0.23	4.94	0.52	-0.02	-0.52	1.56	1.38	-0.39	1.28	-1.84	-0.46	-0.70	-0.41	6.95	0.93	-0.12	0.45	0.41	-1.31	0.46	-0.47	0.94	7.50	-0.62	-1.66	-0.72	-1.06	7.00	0.97	0.69	2.21	-0.73	-0.32	-0.50	-0.16	-0.67	-0.06	0.84	0.85	-0.62	-0.56	0.38	-0.25	-1.65	-0.64	0.29	1.62	-0.43	0.81	-0.25	3.70	-0.40	0.00	-0.19	-0.45	0.34	0.90	0.06	-0.33	-1.05	-0.81	-0.06		AMP CONJ NEMD PRED THAC TO [SMP] 
JSC-13A-02N	1.58	-0.19	-0.38	2.29	0.12	2.23	4.25	1.69	0.02	-0.17	0.12	1.12	0.00	1.06	-1.34	-0.31	-0.60	-0.49	4.10	0.69	-0.14	-0.18	0.04	-1.48	2.03	-0.03	3.83	5.88	1.17	-1.66	-0.40	-0.06	3.50	1.24	-0.54	1.27	0.73	-0.94	0.62	-1.75	-0.84	0.17	0.69	-0.05	1.54	-0.35	0.76	-0.25	-1.27	-0.45	-0.12	1.07	-0.69	-0.57	1.00	-0.50	-0.88	3000.00	-0.63	0.48	1.27	0.20	-0.53	0.17	0.35	-0.52	-0.28		CAUS COND CONJ NEMD PIT POMD PRED THAC [SPIN] 
JSC-13A-02O	-1.04	-0.94	-0.02	-0.65	-0.63	-1.14	7.31	5.33	0.40	-0.52	6.81	1.57	2.39	0.93	-1.84	-0.46	-0.70	0.55	14.38	-0.36	-0.03	5.00	3.52	-1.30	3.10	-0.91	3.89	8.12	1.74	-0.06	-0.72	-1.06	-0.50	-1.14	-1.49	-1.50	-0.73	-1.04	-0.50	-5.16	-1.32	-1.32	1.79	-0.26	-0.62	-0.38	0.50	-0.25	-0.40	-0.64	-0.59	-1.11	-0.86	-1.43	-0.25	-0.80	0.40	0.00	-0.74	-0.94	-0.76	-0.60	-0.82	-0.33	-1.05	-0.81	2.72	TTR 	CONJ DEMO DWNT EX NEMD OSUB PHC PIT POMD PRED [WZPRES] 
JSC-13A-03N	0.73	-0.23	-0.40	3.35	0.38	0.32	3.62	0.95	-0.04	0.13	2.44	0.81	0.06	2.48	0.61	-0.31	-0.60	1.16	0.43	-0.40	-0.68	0.09	1.26	-1.68	0.75	-0.68	0.57	5.92	-0.24	-1.59	-0.52	-0.69	1.33	1.03	-0.23	4.46	0.00	-1.05	0.25	-2.47	-0.21	0.02	1.03	0.18	-0.46	-0.07	-1.05	-0.25	-0.88	-0.64	0.06	2.89	-0.54	0.41	-0.25	0.00	-1.36	2000.00	-0.44	-0.19	0.83	1.90	0.18	-0.33	-0.40	-0.68	0.06	TTR 	CAUS CONJ DWNT FPP1 PRED TO [PRIV] [SPIN] 
JSC-13A-04N	1.08	-0.27	-0.83	1.65	1.13	1.00	3.06	0.71	-0.35	-0.13	1.13	1.43	0.44	2.09	-1.42	-0.15	-0.60	0.27	0.71	-0.08	-0.47	-0.73	0.67	-2.22	-0.01	-0.71	1.66	6.50	0.98	-1.64	-0.44	-0.81	1.33	1.59	0.06	2.00	1.18	0.78	-0.50	-0.31	-0.25	0.20	1.13	0.94	-0.23	-0.23	-0.18	-0.25	-0.69	-0.64	-0.06	1.00	0.00	-0.50	-0.25	-0.40	-0.32	2000.00	-0.56	0.03	1.22	0.50	-0.29	0.00	-0.15	-0.81	-0.28	PIN 	CONJ FPP1 PRED [SPIN] 
JSC-13A-04O	2.69	0.06	-0.73	1.29	0.50	0.50	2.06	1.31	-0.02	-0.26	1.00	1.24	0.94	1.56	-1.68	-0.46	-0.55	0.23	1.14	-0.03	-0.69	0.18	1.11	-1.74	0.46	-0.47	1.97	6.35	0.10	-1.55	-0.48	-0.88	2.50	0.83	-0.29	2.25	2.00	0.54	0.25	-2.33	-0.13	0.10	0.64	0.78	0.31	-0.37	-0.48	0.50	-0.73	-0.36	0.12	1.20	0.26	-0.54	0.50	-0.80	-1.36	3000.00	-0.30	0.03	1.17	0.60	-0.29	0.17	1.20	-0.61	0.11	TTR 	AMP CONJ PRED THAC TO [SPIN] 
JSC-13A-05N	-0.23	-0.04	-0.08	2.47	0.38	0.41	3.62	0.45	-0.15	-0.26	0.12	1.57	0.00	1.07	-1.11	0.15	-0.55	-0.99	5.81	0.75	-0.44	-0.27	0.59	-1.31	1.03	0.65	0.91	7.92	-0.26	-1.80	-0.56	-0.38	5.17	0.76	-0.40	2.21	2.73	-0.33	0.25	-1.27	-0.75	0.46	1.08	0.55	0.23	-0.34	-0.29	0.50	-1.33	-0.36	0.24	0.96	-0.63	0.63	-0.25	0.00	-1.36	0.00	-0.59	1.00	0.76	0.70	-0.35	0.83	0.55	-0.55	0.33		CAUS CONJ NEMD PRED THAC TO TOBJ 
JSC-13A-05O	0.92	0.13	-0.32	3.59	-0.63	0.73	3.75	2.26	-0.31	-0.52	-0.63	0.45	0.50	1.62	-1.58	-0.46	-0.20	-1.16	5.33	0.29	-0.53	0.00	-0.52	-2.06	1.00	0.29	3.00	6.85	-0.60	-1.06	-0.49	-1.06	2.83	0.97	-0.03	2.62	1.09	-0.65	-0.50	-1.80	-0.28	0.09	2.46	-0.07	0.92	0.10	0.24	-0.25	-1.46	-0.64	0.59	1.61	0.89	0.46	2.25	-0.80	-0.56	0.00	-0.74	-0.29	0.73	0.40	1.00	1.33	1.00	-0.81	-0.33	PIN 	CAUS CONJ DEMO NEMD POMD PRED THAC TO XX0 [SERE] 
JSC-13A-06N	-0.04	0.13	-0.05	2.76	-0.38	1.23	4.31	1.12	0.13	-0.04	2.88	0.24	0.00	1.05	-1.16	0.00	-0.35	0.31	2.14	0.67	0.32	-0.09	-0.15	-1.07	1.30	-0.53	1.11	4.73	1.43	-2.09	-0.53	0.25	1.67	0.21	0.00	0.48	0.82	-1.13	0.38	0.32	-0.75	0.49	2.72	-0.02	-0.15	-0.02	-0.44	-0.25	-0.67	-0.64	-0.18	1.40	-0.54	0.04	1.25	-0.20	-1.36	0.00	-0.59	0.16	1.39	1.10	-0.41	0.00	-0.20	-0.52	-0.17	RB 	CAUS CONJ DWNT NEMD PRED XX0 
JSC-13A-06O	-1.04	-0.94	0.08	1.65	-0.63	0.64	4.13	-0.50	-0.96	-0.52	-1.25	0.36	-1.22	0.31	-0.82	-0.46	-0.70	-0.31	-1.00	0.99	1.07	2.64	3.11	-0.03	1.31	-0.91	-0.54	2.73	5.21	-2.84	-0.72	-1.06	-0.50	0.21	0.74	-0.55	-0.73	-1.16	-0.50	-2.47	-0.41	-0.44	0.54	-0.92	-0.62	-0.52	-0.86	-0.25	0.62	-0.64	1.71	0.15	0.26	-1.43	-0.25	3.10	-2.20	0.00	-0.74	-0.94	1.15	-0.60	-0.82	-0.33	-1.05	-0.81	-0.89	RB TTR [SPAU] 	CONJ OSUB PHC PRED PRMD [SMP] 
JSC-13A-07N	0.35	0.17	0.38	1.94	-0.25	2.50	2.87	-1.38	-0.21	-0.52	-0.56	2.38	-0.28	1.53	-1.26	0.15	-0.55	0.27	2.95	-0.84	1.73	0.09	1.41	-1.65	1.04	-0.82	1.66	7.23	-0.40	-1.18	-0.30	0.00	1.33	0.48	-1.49	5.54	1.00	-0.85	-0.50	-2.04	-0.88	0.43	0.61	-0.04	-0.15	-0.44	-0.65	-0.25	-1.65	-0.64	0.88	2.34	1.83	0.26	0.50	0.00	-1.44	3000.00	-0.74	-0.23	0.59	1.90	-0.35	0.67	-0.90	-0.61	-0.72	TTR 	COND CONJ EMPH NEMD PRED TO [PRIV] [SPIN] 
JSC-13A-08N	0.50	-0.25	0.15	2.71	0.75	1.45	3.06	0.26	-0.23	-0.39	-0.38	0.52	0.72	0.65	-1.34	-0.23	-0.55	-0.62	3.95	0.84	1.74	-0.36	1.04	-1.14	1.42	-0.85	0.77	5.92	0.90	-1.85	-0.52	0.06	3.00	1.90	-0.49	1.02	0.73	-0.73	0.50	-1.56	-0.77	0.31	1.20	0.07	-0.15	-0.29	0.05	-0.25	-1.02	-0.64	-0.12	2.61	-0.40	-0.19	-0.25	0.80	-1.04	0.00	-0.63	0.26	1.27	0.40	-0.82	-0.33	-0.25	-0.71	0.00		CAUS CONJ NEMD PRED THAC [PRIV] 
JSC-13A-08O	-1.04	1.15	0.60	-0.65	-0.63	-1.14	5.50	-1.17	-0.96	1.65	-1.25	-0.31	1.56	0.11	-1.84	-0.46	-0.70	-0.04	13.29	1.53	3.13	-0.91	-1.26	-0.81	-0.75	-0.91	-1.66	2.04	5.81	-2.87	-0.72	-1.06	7.83	2.31	-1.49	0.91	-0.73	-1.11	-0.50	-4.30	-1.32	-0.37	-1.39	-1.93	-0.62	-0.46	0.06	-0.25	-0.69	-0.64	-0.59	2.60	0.57	0.43	-0.25	-0.80	-2.20	0.00	-0.74	-0.94	1.68	4.40	-0.82	-0.33	1.45	-0.81	-0.89	RB TTR [SPAU] 	CONJ NEMD NOMZ PRED PRMD THAC THVC [PRIV] [WHCL] 
JSC-13A-09N	-0.46	-0.25	-0.42	3.71	1.88	0.77	3.38	0.57	0.00	-0.35	-0.19	0.69	0.22	1.10	-1.74	-0.15	-0.50	-0.84	3.48	-0.00	1.26	-0.09	-0.37	-1.48	0.86	-0.41	2.29	3.92	0.07	-2.30	-0.41	-0.63	2.83	0.97	-1.23	0.46	0.82	0.80	1.13	-1.37	-0.43	0.39	2.11	0.68	1.54	-0.17	-0.09	-0.25	-1.10	-0.45	0.41	1.55	-0.06	0.44	3.00	-0.40	-1.76	0.00	-0.67	1.90	1.98	2.20	-0.59	0.33	0.35	-0.58	-0.67	RB 	CAUS CONJ NEMD POMD PRED THAC XX0 [SERE] [WHCL] 
JSC-13A-09O	-1.04	-0.94	-0.40	8.35	-0.63	-1.14	-0.75	4.90	-0.96	-0.52	-1.25	-1.50	3.00	0.42	-1.84	-0.46	-0.70	-1.61	6.29	0.51	1.80	-0.91	-1.26	-1.04	-0.38	-0.91	-1.66	7.00	0.48	-2.43	-0.72	-1.06	-0.50	-1.14	-1.49	-2.66	-0.73	3.42	-0.50	-5.64	0.44	0.18	2.36	0.23	-0.62	0.10	0.86	-0.25	-1.65	-0.64	-0.59	0.47	-0.86	-0.02	-0.25	-0.80	-2.20	0.00	-0.74	-0.94	1.10	-0.60	3.65	12.33	2.75	-0.81	-0.89	RB TO TTR [SPAU] 	CAUS DEMO EX NEMD PRED TPP3 XX0 [WHOBJ] [WHQU] [WHSUB] 
JSC-13B-01N	1.62	-0.06	0.05	3.06	0.75	-0.18	2.87	3.62	0.58	-0.30	1.37	1.38	0.72	1.02	-1.47	-0.08	-0.25	-0.11	5.95	0.25	-0.01	0.09	1.30	-1.26	0.38	-0.29	1.34	4.08	-0.33	-1.70	-0.30	0.12	3.33	0.93	-0.74	2.95	0.36	-0.60	0.13	0.03	-0.53	0.07	1.28	-0.12	0.23	-0.30	0.14	-0.25	-0.81	-0.64	-0.06	1.31	-0.11	-0.26	0.25	-0.40	-0.60	0.00	-0.15	0.94	0.73	-0.20	-0.59	0.00	0.20	-0.74	0.56		CAUS CONJ DEMO NEMD PRED THAC TO 
JSC-13B-01O	2.27	-0.33	-0.87	2.76	3.00	5.41	-0.75	5.19	-0.96	-0.52	2.37	4.67	0.39	1.16	-1.84	-0.46	-0.70	-1.39	3.10	0.51	-0.78	1.73	0.89	-0.49	1.80	-0.06	0.00	3.73	-0.64	-1.11	-0.72	2.56	-0.50	-1.14	-0.66	2.48	-0.73	-0.56	-0.50	-1.46	-0.65	0.17	1.92	-0.25	-0.62	-0.11	-0.15	-0.25	-1.10	-0.64	-0.59	2.42	-0.86	-0.89	7.00	-0.80	-1.04	0.00	-0.74	0.94	1.34	8.00	-0.82	-0.33	3.25	2.90	-0.89		AMP CAUS CONC COND DEMO DWNT EMPH NEMD PRED SYNE TO [PRIV] [SERE] [WHCL] [WHSUB] [WZPAST] 
JSC-13B-02N	0.19	-0.27	-0.30	2.24	-0.13	-0.23	3.81	1.12	0.15	-0.52	1.00	1.19	0.33	0.74	-1.63	0.77	-0.50	-0.32	6.90	1.46	0.44	0.18	0.85	-1.29	0.66	-0.44	-0.14	4.12	-0.26	-2.46	-0.66	-0.56	2.17	1.66	-0.80	1.96	2.55	-0.90	-0.50	-0.02	-0.81	0.13	0.52	-0.29	1.54	-0.42	0.20	2.75	-1.19	-0.64	-0.35	2.24	-0.40	-0.83	0.75	-0.80	-0.60	0.00	-0.44	-0.42	0.73	0.60	-0.59	-0.33	0.95	-0.81	0.67	RB 	CAUS CONJ NEMD PRED THAC TOBJ [PASTP] [PRIV] 
JSC-13B-03N	1.04	-0.23	-0.28	3.18	0.25	1.64	2.63	0.76	0.35	-0.39	0.00	1.26	0.28	1.08	-1.39	-0.08	-0.35	-0.39	5.00	0.64	-0.61	0.00	0.52	-1.54	1.59	-0.56	1.94	6.38	0.50	-1.91	-0.33	0.44	3.50	0.28	-0.66	2.41	-0.09	-0.85	1.63	-0.84	-0.94	0.59	1.93	0.36	0.92	-0.03	0.64	-0.25	-0.83	-0.36	0.12	1.38	-0.57	0.22	0.25	-0.60	-1.12	3000.00	-0.41	1.48	1.20	0.40	-0.71	0.17	-0.20	-0.35	-0.11		CAUS CONJ NEMD PRED THAC TO [SPIN] 
JSC-13B-03O	-1.04	-0.94	-0.32	9.18	-0.63	-1.14	9.69	-2.36	-0.96	-0.52	-1.25	2.48	-1.22	0.87	-1.84	-0.46	-0.70	2.09	14.86	-0.39	-1.38	14.27	-1.26	-3.04	0.90	-0.91	-1.66	4.62	-1.33	-1.84	-0.72	-1.06	-0.50	-1.14	-1.49	0.32	-0.73	0.89	-0.50	-7.47	-0.77	0.16	1.34	0.53	-0.62	0.17	-1.45	-0.25	-1.65	-0.64	-0.59	1.47	3.91	-1.43	-0.25	-0.80	-2.20	0.00	-0.74	-0.94	-0.76	-0.60	-0.82	-0.33	-1.05	-0.81	-0.89	DEMO PIN TTR [SPAU] 	CAUS CONJ EMPH JJ NEMD OSUB PRED [PROD] 
JSC-13B-04N	-0.15	-0.23	0.00	2.88	1.13	1.32	2.63	1.36	0.71	-0.26	-0.19	1.00	-0.44	1.31	-1.32	-0.46	-0.55	-0.11	5.24	0.29	0.46	-0.64	1.48	-1.08	1.31	-0.41	1.34	4.77	-0.67	-1.91	-0.16	-0.38	2.83	0.72	-0.34	1.41	0.55	-0.79	1.25	-3.00	-0.78	0.45	1.49	0.25	0.46	-0.40	0.35	-0.25	-0.77	-0.64	0.06	1.17	0.37	0.52	-0.25	-0.20	-0.48	3000.00	-0.33	1.45	1.61	-0.30	-0.82	0.67	-0.50	-0.71	-0.28	TTR 	CAUS CONJ NEMD PRED THAC [SPIN] 
JSC-13B-05N	1.42	0.08	-1.03	2.88	0.38	0.41	2.63	1.67	0.29	-0.09	-0.13	2.17	-0.56	3.13	-0.29	0.15	-0.70	-1.15	1.95	-0.44	-0.67	1.18	0.78	-1.50	0.58	0.03	0.83	6.77	0.07	-1.61	-0.23	-1.06	2.50	1.59	0.91	3.21	0.00	-1.22	-0.25	-1.32	-0.30	0.33	1.97	-0.14	-0.08	0.04	-0.14	-0.25	-0.65	-0.64	-0.29	2.27	-0.71	-0.50	-0.25	-0.50	-1.04	0.00	-0.07	0.81	2.02	0.10	-0.82	-0.33	-0.80	-0.74	-0.33		CAUS CONJ EMPH FPP1 PRED THAC TO [PRIV] [THATD] 
JSC-13B-05O	2.62	-0.54	-0.85	1.59	1.75	-0.27	1.63	1.26	-0.17	-0.52	1.13	0.31	-0.17	2.81	-0.34	1.00	-0.70	-1.41	0.81	-0.11	-1.12	0.82	2.26	-1.29	0.96	-0.35	0.51	6.96	-0.43	-1.14	-0.44	0.12	2.67	2.14	1.23	3.45	1.00	-1.33	-0.50	-0.50	-0.38	0.67	1.41	-0.58	-0.62	-0.11	-0.88	-0.25	0.54	-0.64	-0.59	2.28	-0.31	-1.43	-0.25	1.10	-1.44	0.00	-0.04	-0.94	1.56	-0.60	1.41	-0.33	0.85	-0.81	-0.89		AMP FPP1 PHC PRED THAC THVC TO [PRIV] 
JSC-13B-06N	0.38	0.21	-0.10	3.47	0.75	0.05	3.19	0.62	-0.19	-0.35	0.38	1.67	0.39	1.26	-1.37	0.08	-0.35	-0.19	5.67	0.60	0.69	1.09	-0.04	-1.40	0.46	-0.06	0.77	4.58	-0.02	-1.69	-0.42	0.56	0.67	0.76	-0.11	0.57	0.91	-0.21	0.88	-0.64	-0.52	0.27	1.51	-0.11	-0.31	-0.19	-0.62	-0.25	-0.94	-0.27	0.71	1.82	0.09	0.83	0.75	-0.10	-1.16	0.00	-0.48	1.55	1.49	0.90	-0.59	-0.33	-0.70	-0.58	-0.67		CAUS CONJ NEMD PRED 
JSC-13B-07N	0.77	-0.19	-0.02	3.35	0.75	1.14	3.88	4.33	0.54	-0.43	-0.19	0.48	0.11	1.43	-1.39	-0.08	-0.55	-0.43	4.57	0.08	1.57	0.18	0.74	-1.32	0.79	-0.47	2.26	6.27	0.45	-2.18	-0.24	-0.50	2.83	0.52	-0.37	1.50	0.36	-1.04	0.62	-1.51	-0.94	0.40	2.38	0.08	0.46	-0.06	0.68	-0.25	-1.21	-0.45	0.41	1.67	-0.63	1.13	-0.25	-0.60	-1.48	0.00	-0.56	2.81	1.29	1.50	-0.35	0.50	-0.30	-0.55	-0.28	RB 	CAUS CONJ DEMO NEMD POMD PRED THAC XX0 [SUAV] 
JSC-13B-07O	1.65	-0.10	0.38	2.29	1.88	1.14	4.88	1.90	0.08	-0.52	0.00	0.17	-0.11	0.52	-1.58	-0.46	-0.70	-0.43	8.95	0.07	2.21	0.00	0.22	-0.82	2.20	-0.62	0.06	7.00	0.81	-2.14	-0.57	0.19	2.83	0.24	-0.63	2.68	0.18	-0.53	0.75	1.09	-0.83	-0.06	1.70	0.17	0.15	-0.46	0.65	-0.25	-1.46	-0.64	0.59	0.18	-0.86	0.43	4.75	-0.80	-1.80	0.00	-0.74	0.35	-0.02	-0.60	-0.24	-0.33	-0.55	-0.48	-0.33	RB 	CAUS CONJ NEMD NOMZ PIT PRED THAC TO [SERE] 
JSC-13B-08N	0.96	0.15	0.65	6.47	1.50	-0.36	3.56	2.57	1.19	0.22	-0.19	0.95	-1.22	0.94	-1.84	-0.46	-0.70	0.81	2.29	1.71	-0.54	-0.91	6.41	-1.57	1.70	0.62	0.80	7.46	-0.93	-2.16	-0.72	-1.06	2.33	-0.55	-0.51	0.73	-0.73	-1.18	-0.50	-0.12	-0.87	0.50	0.30	0.65	-0.62	-0.08	-0.67	-0.25	-1.33	-0.64	0.41	0.76	-0.37	1.44	-0.25	-0.80	-0.84	0.00	-0.11	0.16	1.34	-0.60	-0.82	-0.33	-1.05	-0.26	0.06	RB 	CAUS CONJ DEMO NEMD PHC PRED THAC 
JSC-13B-09N	2.50	0.29	0.00	3.53	0.50	-0.36	2.44	1.69	0.27	0.13	0.62	2.12	0.06	1.66	-1.29	-0.23	-0.70	1.34	2.38	1.03	-0.48	-0.09	1.30	-1.44	1.41	-0.24	-0.11	9.85	0.02	-2.14	-0.07	-0.75	2.00	0.48	-0.46	1.30	0.64	-1.07	0.62	-0.26	-0.73	0.60	0.03	1.03	0.23	-0.21	-0.23	0.25	-0.98	-0.45	-0.12	1.46	-0.77	0.30	-0.25	-0.60	-1.16	0.00	-0.33	1.39	1.15	-0.30	-0.65	0.00	-0.50	-0.55	-0.06	RB 	AMP CAUS CONJ EMPH NEMD PRED 
JSC-13B-09O	0.81	-0.73	-0.12	1.59	3.00	-0.68	6.44	0.62	-0.17	0.30	-0.06	-0.36	-0.17	1.94	-1.58	-0.46	-0.70	1.37	0.81	1.47	-0.51	-0.91	1.59	-1.47	1.93	-0.06	0.26	10.38	-0.88	-2.36	-0.64	-1.06	5.83	-0.14	-1.49	2.48	0.18	-1.20	-0.50	-1.22	-0.59	0.68	0.03	1.27	-0.62	-0.26	0.15	-0.25	-1.10	-0.64	-0.59	2.34	-0.86	-0.35	-0.25	0.20	-1.04	0.00	-0.37	0.00	2.54	1.30	-0.24	-0.33	1.35	-0.81	-0.33	RB 	CONC CONJ PRED THAC TO [PRIV] [THATD] 
JSC-13B-10N	1.96	0.23	-0.58	2.53	0.00	-0.14	2.31	0.43	-0.19	0.35	0.12	1.05	0.11	1.82	-1.39	-0.31	-0.45	-0.35	2.62	-0.19	0.42	-0.45	1.19	-1.53	-0.55	-0.56	0.23	3.15	-0.29	-1.92	-0.31	-0.63	3.50	0.72	-0.23	1.36	0.82	1.66	0.38	0.08	0.59	-0.25	0.93	0.03	0.54	-0.33	-0.05	-0.25	-0.25	-0.64	-0.47	2.08	-0.09	-0.11	0.25	-0.60	0.16	0.00	-0.56	1.19	1.39	1.10	-0.53	-0.33	0.30	-0.74	-0.89		CAUS CONJ NEMD PRED THAC [PRIV] 
JSC-13B-10O	2.65	0.06	0.05	1.06	0.63	-0.68	1.06	0.62	-0.35	-0.52	1.19	1.02	0.39	1.14	-0.82	-0.46	-0.20	0.15	4.05	0.43	0.36	0.82	1.59	-1.50	-0.63	-0.62	-0.83	3.77	1.19	-1.81	-0.58	-1.06	4.33	0.21	-1.49	1.13	0.18	1.07	-0.50	-1.51	0.59	-0.27	0.03	0.06	0.15	-0.52	0.88	-0.25	-1.29	-0.64	-0.59	1.42	-0.57	-1.07	-0.25	0.20	-0.28	0.00	-0.37	0.61	2.07	-0.60	-0.82	-0.33	1.35	-0.81	0.17		AMP NEMD PRED THAC [THATD] 
JSC-13B-11N	1.31	-0.21	-0.08	4.29	-0.25	1.36	2.06	3.33	0.13	-0.09	-0.63	0.57	1.11	1.02	-1.76	-0.23	-0.20	-0.19	1.48	1.17	1.03	-0.91	0.78	-1.44	-0.08	0.71	1.66	4.15	0.81	-2.02	-0.28	-0.06	1.67	0.66	-0.94	0.63	1.64	-0.24	-0.50	-0.55	-0.34	0.21	2.36	-0.09	1.62	0.01	0.21	0.50	-1.15	-0.64	0.00	1.90	0.06	-0.22	-0.25	-0.50	-0.64	0.00	-0.52	0.52	0.34	3.30	-0.65	-0.33	0.25	-0.71	-0.72	RB 	CAUS CONJ DEMO PRED XX0 [WHCL] 
JSC-14A-01N	1.00	-0.10	-0.28	1.29	0.25	2.86	3.25	2.64	0.48	-0.35	0.25	1.50	0.83	1.06	-1.26	-0.15	-0.05	-1.01	5.10	0.14	0.15	0.45	1.04	-1.36	0.32	-0.06	0.74	3.46	0.45	-1.76	-0.41	-0.25	4.33	1.00	-0.09	0.64	1.64	-0.03	-0.25	-0.98	0.09	-0.28	1.10	-0.24	0.23	-0.37	0.21	-0.25	0.50	-0.45	-0.18	1.81	-0.11	-0.72	-0.25	-0.80	-0.72	0.00	-0.59	0.19	0.85	1.40	-0.29	0.33	1.70	-0.58	0.00		COND CONJ DEMO NEMD PRED THAC 
JSC-14A-01O	1.50	-0.10	-0.05	0.12	-0.63	3.09	1.75	4.26	0.15	-0.52	0.38	2.29	-0.50	1.60	-1.84	-0.46	-0.70	-0.76	9.71	0.51	0.27	-0.91	-0.30	-2.06	0.23	0.65	0.60	0.73	-0.38	-1.47	-0.72	-0.25	-0.50	2.07	0.40	1.13	-0.73	-0.33	-0.50	-0.21	0.08	0.13	0.13	-1.17	0.38	-0.51	0.76	-0.25	-0.63	-0.64	-0.59	2.98	-0.49	-0.20	-0.25	-0.80	-0.60	0.00	-0.26	0.35	1.83	3.40	0.71	-0.33	0.95	0.03	-0.17	PIN 	COND DEMO EMPH NEMD THVC [PRIV] [WHCL] 
JSC-14A-02N	0.50	0.02	0.18	1.94	0.38	0.41	4.63	1.60	0.58	-0.52	-0.06	0.81	0.89	1.61	-0.74	-0.15	-0.70	-0.12	6.62	0.67	-0.60	0.27	3.33	-1.35	0.89	0.26	0.51	7.12	-0.38	-1.70	-0.15	0.00	4.00	0.76	-1.37	0.98	0.45	-0.68	0.25	-1.03	-0.82	0.57	1.69	0.17	0.00	-0.33	0.02	0.25	-1.17	-0.45	-0.12	2.28	-0.14	-0.41	0.25	-0.20	-1.36	0.00	-0.74	0.16	1.56	0.00	-0.47	0.33	0.65	-0.68	-0.67		CONJ NEMD PHC PRED THAC [PRIV] 
JSC-14A-02O	-1.04	-0.94	0.00	-0.65	-0.63	-1.14	-0.75	-2.36	-0.96	-0.52	-1.25	4.05	-1.22	2.52	-1.84	-0.46	-0.70	-0.34	10.10	0.81	0.77	-0.91	1.63	-0.69	-1.45	-0.91	-1.66	-1.81	0.52	-0.20	-0.72	-1.06	-0.50	4.21	-1.49	0.11	-0.73	-1.33	9.25	-6.27	-1.32	1.13	-0.11	-2.98	-0.62	-0.31	2.08	-0.25	-1.65	-0.64	-0.59	2.00	1.37	0.02	-0.25	-0.80	-2.20	0.00	-0.74	1.58	-0.76	-0.60	3.76	-0.33	-1.05	-0.81	-0.89	DEMO TTR [BEMA] [SPAU] 	EMPH FPP1 NEMD THVC TSUB [PASS] [WHOBJ] 
JSC-14A-03N	1.50	-0.42	-0.10	3.24	1.50	0.45	4.69	0.93	0.17	-0.43	-0.50	0.21	0.06	1.52	-1.18	-0.31	-0.50	-0.34	10.00	-0.02	0.67	0.00	0.33	-1.51	0.90	-0.68	0.40	6.08	-0.60	-1.94	-0.34	0.75	6.00	1.52	-1.06	0.52	0.00	-0.39	0.50	-0.84	-0.58	0.48	1.31	0.37	0.31	-0.28	1.58	-0.25	-1.10	-0.64	0.12	1.63	-0.46	0.22	0.25	-0.60	-1.52	0.00	-0.52	1.55	1.93	0.80	-0.35	0.00	0.10	-0.48	0.06		CAUS CONJ NEMD PRED THAC 
