Filename	Tokens	AWL	TTR	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
JOC-12B-08N	5928	4.24	179	0	0.10	3.53	0.02	0.02	7.66	0.07	0.59	0.42	0.76	1.89	0.93	0.22	0.27	0.54	2.41	0.56	0.02	6.85	0.29	1.33	0.25	5.23	0	0.24	0.08	1.59	0.05	3.81	0	1.01	18.32	1.82	0.15	0	0.86	6.44	1.25	0.17	1.10	0.79	2.06	0.54	0.02	0.88	0.19	3.32	0.05	0.02	0	0.15	0.20	0.76	0.35	2.02	0.22	4.37	0.13	0.02	6.09	4.93	0.69	2.36	7.09	0.24	0.86	0	2.34	2.95	0.25	1.21	1.21	0	0.54	0.03	0.10	4.28	0.44	0.78	0	0.02	0.29	0.03	0.02	0.35	0.98	0.29	0.10	0.03	0.42	0.02	0.02	0.10	
JOC-12B-09N	8345	4.37	195	0	0.17	4.34	0.11	0.11	7.56	0.64	0.23	0.42	0.31	1.95	1.97	0.24	0.31	0.31	1.40	0.38	0.06	7.19	0.29	1.20	0.48	4.09	0.05	0.16	0.06	1.50	0.02	6.58	0	0.54	21.82	2.46	0.07	0	0.66	7.79	1.10	0.23	0.75	0.47	1.27	1.32	0.05	1.10	0.32	3.14	0.12	0.16	0.01	0.30	0.14	0.54	0.48	1.76	0.17	1.74	0.08	0.04	5.87	2.34	1.25	1.39	8.32	0.32	0.54	0	2.29	2.29	0.06	1.15	0.87	0.01	0.24	0.04	0.11	2.89	0.07	0.75	0.04	0.04	0.23	0	0.07	1.09	0.75	0.20	0.08	0.01	0.26	0.02	0.22	0.14	
JOC-12B-09O	841	4.68	210	0	0.12	2.73	0	0	7.49	0	0.12	0.36	0.59	1.66	0.36	0	0.24	0.83	1.66	0.24	0.12	6.06	0.12	1.07	0.12	4.52	0	0	0	1.55	0	6.78	0	1.07	21.05	2.85	0.24	0	0.59	7.85	1.31	0.12	0.59	0.59	0.48	1.66	0	1.07	0.24	2.38	0.12	0.36	0	0	0.12	1.78	0.95	2.26	0.59	3.09	0	0	7.25	2.38	0.95	2.02	7.61	0.12	0.36	0	1.31	1.66	0.12	0.71	1.07	0	0.95	0	0.12	4.40	0.36	1.07	0	0	0.24	0	0	0.83	0.83	0	0.12	0	0	0	0	0.12	
JOC-13A-01N	6318	4.48	188	0	0.16	4.21	0.03	0.03	6.92	0.06	0.47	0.51	0.59	1.76	0.74	0.05	0.38	0.68	1.96	0.47	0	7.76	0.30	1.46	0.35	6.06	0	0.22	0.06	1.90	0	5.51	0	1.22	21.81	1.66	0.17	0	0.49	8.78	1.04	0.41	0.49	0.51	1.58	0.22	0.02	1.69	0.13	3.66	0.06	0.13	0	0.17	0.25	0.59	0.14	1.54	0.13	0.76	0.09	0	4.40	3.37	1.23	1.82	7.68	0.32	0.32	0	1.74	2.79	0.25	0.84	0.89	0.02	0.30	0	0.05	3.75	0.06	0.95	0.05	0	0.17	0.02	0.09	0.24	0.63	0.16	0.08	0.05	0.28	0.11	0.17	0.22	
JOC-13A-01O	660	4.52	201	0	0.15	4.55	0	0	6.97	0	1.36	0.61	0.15	2.58	0.15	0	0.30	0.91	1.21	0.45	0	6.52	0.45	1.21	0.15	6.06	0	0	0	1.36	0	5.30	0	1.67	21.36	1.82	0.15	0	0.45	7.73	1.36	0.15	0.91	0.45	2.42	0.30	0.15	0.61	0	3.64	0.15	0	0	0	0.45	0.61	0.76	2.73	0	2.27	0	0	6.36	1.97	1.82	1.36	7.58	0.30	0.15	0	1.36	3.64	0	0.30	1.21	0	0	0	0.15	3.48	0.15	1.21	0	0.45	0.45	0	0.15	0.15	0.45	0.15	0.15	0	0	0	0.15	0.15	
JOC-13A-02N	6364	4.35	168	0.02	0.16	4.13	0.03	0.02	7.02	0.09	0.68	0.36	0.50	1.90	0.49	0.06	0.74	0.80	1.70	0.47	0.08	6.21	0.22	1.10	0.22	5.48	0	0.19	0.02	1.78	0.02	5.15	0	1.07	20.51	1.79	0.08	0	0.35	7.29	2.47	0.30	1.92	0.20	2.00	1.05	0	0.96	0.61	3.63	0.09	0.44	0	0.16	0.24	0.69	0.33	2.20	0.16	0.88	0.09	0	6.84	1.46	1.16	2.28	8.34	0.28	0.28	0	1.27	2.78	0.28	0.69	1.46	0	0.20	0.02	0.08	2.91	0.06	0.46	0.05	0.03	0.33	0.03	0.03	0.44	0.83	0.08	0.05	0.03	0.28	0.09	0.11	0.11	
JOC-13A-02O	155	4.49	97	0	0	2.58	0	0	9.03	0	0	0	0	2.58	0	0	0	1.29	3.23	0.65	0	4.52	1.29	1.29	0.65	5.16	0	0	0	2.58	0	7.10	0	3.23	16.77	1.94	0.65	0	1.29	7.74	3.23	0	1.94	0	2.58	1.29	0	2.58	0	6.45	1.29	0	0	0	0	0	0	0.65	0	0.65	0	0	7.74	0	1.94	1.94	3.23	0	0	0	1.94	2.58	0	0.65	1.29	0	0.65	0	0	0.65	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0.65	0	
JOC-13A-03N	4737	4.34	153	0	0.27	4.14	0.02	0.04	6.69	0.06	0.46	0.34	0.68	2.15	0.32	0.08	0.32	0.70	1.39	0.44	0.15	5.68	0.59	0.97	0.23	9.18	0.02	0.93	0.02	1.90	0.02	8.25	0	0.30	16.61	1.01	0.11	0	0.68	6.78	1.56	0.08	0.78	0.08	2.01	0.46	0	1.01	0.13	3.76	0.19	0.27	0	0.06	0.11	0.63	0.44	3.99	0.08	0.63	0.06	0	6.33	3.38	2.62	0.87	7.83	0.32	0.06	0	1.48	3.00	0.02	1.22	0.27	0	0.40	0	0.11	4.81	0.11	0.99	0	0.08	0.21	0.02	0.08	0.23	0.65	0.25	0.17	0	0.13	0.04	0.17	0.23	
JOC-13A-04N	5590	4.17	198	0	0.25	3.43	0.02	0.05	7.84	0.09	0.55	0.32	0.39	2.34	1.13	0.14	0.47	0.61	1.29	0.29	0.09	4.28	0.38	1.23	0.30	8.18	0.02	0.16	0.04	1.95	0.02	6.58	0	0.36	17.75	1.32	0.02	0.07	0.52	5.40	1.02	0.07	1.16	0.59	2.16	0.97	0	1.11	0.41	3.67	0.20	0.38	0	0.04	0.11	0.79	0.54	2.61	0.21	4.74	0	0	6.15	3.24	1.70	1.56	8.46	0.18	0.32	0.02	1.54	3.72	0.05	0.93	0.84	0	0.50	0	0.09	2.84	0.30	0.50	0	0.04	0.47	0.02	0.05	0.30	0.81	0.11	0.09	0.02	0.18	0	0.11	0.27	
JOC-13A-04O	3307	4.21	156	0	0.06	3.99	0.06	0.06	7.17	0.09	0.97	0.48	0.33	2.12	1.18	0.09	0.36	0.45	1.54	0.45	0.06	4.54	0.36	1.15	0.39	6.80	0	0.06	0	1.91	0.03	6.50	0	0.45	17.93	1.00	0.12	0.03	0.64	6.62	1.36	0.15	1.27	0.12	2.12	0.60	0.03	1.33	0.45	3.84	0.30	0.33	0	0.03	0.18	0.57	0.42	2.75	0.30	4.20	0.06	0	5.53	3.60	1.75	1.51	8.13	0.18	0.60	0.03	1.24	3.57	0.12	0.67	0.64	0.03	0.48	0.03	0.12	3.05	0.39	0.48	0.03	0	0.21	0.03	0.12	0.30	0.79	0.12	0.09	0.03	0.45	0.06	0.18	0.06	
JOC-13A-05N	7143	4.47	178	0	0.22	4.12	0.01	0.01	7.25	0.03	0.21	0.43	0.53	2.39	0.17	0.08	0.34	0.70	1.18	0.39	0.06	5.87	0.22	1.29	0.22	5.52	0.01	0.28	0.08	1.72	0.03	4.20	0	1.43	20.73	1.36	0.07	0.01	0.50	7.71	1.76	0.53	0.90	0.59	2.53	0.45	0	1.02	0.25	3.40	0.24	0.22	0	0.11	0.34	0.55	0.38	2.73	0.38	2.24	0.06	0	6.62	1.72	2.13	1.46	9.35	0.14	0.60	0	1.51	3.35	0.11	0.71	0.77	0.03	0.17	0.03	0.14	2.80	0.08	1.11	0	0.08	0.21	0	0.04	0.60	0.62	0.13	0.08	0.07	0.32	0.08	0.22	0.21	
JOC-13A-05O	979	4.37	167	0	0.31	4.80	0	0	6.84	0.10	0.51	0.51	0.72	1.74	0.31	0	0.41	0.72	1.94	0.31	0	6.33	0.10	0.82	0.31	6.95	0.10	0.10	0	1.63	0.10	3.88	0	1.33	19.10	1.23	0.10	0	0.20	5.82	1.74	0.41	1.63	0.82	2.25	0.31	0	1.33	0.10	4.70	0.20	0.31	0	0	0.20	0.61	0.51	2.96	0.20	1.53	0	0	7.76	3.17	1.33	1.84	8.07	0.51	0.51	0	2.35	2.76	0.20	1.53	1.12	0	0.10	0	0.20	3.47	0.61	1.02	0.10	0	0.41	0	0	0.20	0.61	0.10	0.31	0.10	0.41	0	0.10	0	
JOC-13A-06N	5339	4.48	211	0	1.24	5.13	0.04	0.04	7.44	0	0.26	0.51	0.58	2.57	0.43	0.02	0.52	0.81	1.46	0.52	0.11	6.41	0.66	0.73	0.22	5.45	0.02	0.26	0.06	1.69	0.07	6.65	0	0.66	20.43	2.45	0.09	0	0.30	8.32	1.95	0.13	0.97	0.58	1.70	1.16	0	1.18	0.30	2.88	0.17	0.26	0	0.21	0.13	0.39	0.52	1.76	0.17	0.45	0.07	0	5.69	1.72	1.48	1.46	9.44	0.21	0.22	0	2.51	2.81	0.06	1.31	0.67	0	0.51	0	0.07	3.26	0.11	0.79	0.06	0.06	0.21	0	0.04	0.34	0.88	0.17	0.07	0.02	0.17	0.09	0.13	1.39	
JOC-13A-06O	255	4.53	153	0	0.39	4.31	0.78	0.78	6.27	0	0	0	0.39	1.96	4.71	0	0.39	0.78	0.78	0	0	10.20	0	0.78	0	3.53	0	0.39	0	1.96	0	5.49	0	0	21.57	3.53	0.39	0.39	1.18	10.98	1.96	0	0.39	0	1.18	2.75	0	0.78	0.39	1.57	0.39	0	0	0	0	0.39	0.78	1.18	0	0.39	0	0	4.71	2.75	0.78	1.96	6.27	0	0.39	0	1.18	1.96	0	0.39	0.39	0	1.18	0	0.39	1.96	0.39	0	0	0.39	0	0	0	0	0.78	0	0	0	0	0	0	0.39	
JOC-13A-07N	3619	4.65	162	0	0.22	4.64	0	0	6.85	0.03	0.36	0.53	0.44	2.24	0.33	0.03	0.80	0.58	0.41	0.36	0	6.27	0.11	1.63	0.17	6.71	0	0.22	0.08	1.08	0.03	6.58	0	0.83	15.06	4.48	0.11	0	0.72	6.85	1.77	0.03	1.16	0.55	2.35	0.39	0.03	0.91	0.17	4.48	0	0.58	0	0.17	0.11	0.47	0	4.59	0.19	1.08	0	0	8.12	1.33	2.57	0.83	9.23	0.11	0.64	0	1.22	2.79	0.06	0.53	0.53	0	0	0	0.25	4.23	0.94	0.91	0.03	0.08	0.19	0.03	0	0.22	0.55	0.25	0.08	0.06	0.03	0.06	0.03	0.22	
JOC-13A-08N	6271	4.56	172	0	0.05	4.05	0	0	6.94	0.06	0.40	0.33	0.57	2.10	0.53	0.11	0.57	0.61	1.10	0.35	0.03	7.57	0.14	0.85	0.35	4.42	0.02	0.19	0.03	1.77	0.03	4.91	0	1.04	21.05	4.50	0.06	0	0.62	8.16	2.04	0.02	0.85	0.48	2.01	0.94	0	1.04	0.05	3.30	0.05	0.27	0	0.18	0.21	0.88	0.35	2.06	0.16	1.34	0.08	0	5.84	1.66	1.61	1.55	8.83	0.10	0.22	0	1.58	2.90	0.06	0.81	0.99	0	0.33	0	0.08	4.51	0.16	0.67	0	0.16	0.29	0	0.03	0.37	0.83	0.10	0	0	0.16	0.03	0.16	0.08	
JOC-13A-08O	200	4.74	115	0	0	3.00	0	0	9.00	0	0	1.00	0	1.50	0.50	0	0	1.00	0.50	0	0.50	8.00	0	0.50	0.50	3.00	0	0	0	2.50	0	6.00	0	3.00	23.50	6.50	0	0	0	9.00	0.50	0	0	0.50	1.00	3.00	0	1.00	0	1.50	0	0	0	0	0.50	1.00	0	2.00	0	0.50	0	0	8.50	0	3.00	1.50	6.50	0	1.00	0	0	1.00	0	0.50	1.00	0	0.50	0	0	4.50	0.50	1.00	0	0	0	0	0	0	1.00	0.50	0	0	0.50	0	0	0	
JOC-13A-09N	5427	4.33	176	0	0.29	4.39	0.02	0.02	7.48	0.07	0.15	0.33	0.74	2.30	0.33	0.20	0.42	0.66	1.23	0.46	0.04	7.78	0.17	0.92	0.26	5.58	0.02	0.04	0.04	1.88	0.04	4.50	0	0.94	18.04	3.81	0.09	0.04	0.24	7.30	1.64	0.17	1.38	0.53	1.49	0.59	0	1.11	0.20	2.52	0.02	0.42	0	0.07	0.20	0.61	0.09	1.75	0.17	4.79	0.13	0	5.79	2.69	1.20	1.70	9.10	0.53	0.42	0.02	2.14	3.48	0.28	1.03	0.90	0	0.29	0.02	0.17	3.41	0.28	1.01	0.13	0.04	0.11	0	0.02	0.88	1.12	0.28	0.04	0.04	0.28	0.07	0.04	0.29	
JOC-13A-09O	131	4.34	87	0	0	3.82	0	0	6.87	0	0	0	1.53	2.29	0	0	0	0	3.05	0	0	3.05	0	0	0.76	3.82	0	0	0	3.05	0	3.05	0	1.53	19.85	4.58	0	0	0	8.40	0.76	0	0	2.29	2.29	0.76	0	3.05	0	2.29	0	0	0	0	0	0	0	0	0	10.69	0	0	2.29	5.34	2.29	1.53	8.40	0.76	2.29	0	2.29	3.05	0	1.53	1.53	0	0	0	0	2.29	0	0.76	0	0	0	0	0	0	0.76	0	0.76	0.76	0.76	0	0	0	
JOC-13B-01N	5692	4.52	205	0	0.12	3.44	0.07	0.07	7.77	0.04	0.69	0.42	0.63	1.72	0.56	0.11	0.21	0.58	2.51	0.74	0.05	6.04	0.42	1.21	0.35	5.39	0.02	0.14	0.05	1.48	0.09	5.87	0	1.46	18.94	1.97	0.11	0.04	0.69	7.85	1.30	0.21	1.05	0.19	1.53	0.42	0.02	1.39	0.11	3.57	0.02	0.58	0	0.19	0.23	0.60	0.26	3.14	0.12	1.65	0.05	0	6.94	2.41	1.30	1.84	8.01	0.11	0.32	0	1.63	2.72	0.11	0.79	1.05	0	0.44	0	0.09	3.16	0.26	0.63	0.02	0.04	0.40	0	0.16	0.58	0.61	0.04	0.04	0.02	0.25	0.02	0.26	0.11	
JOC-13B-01O	347	4.15	174	0	0	2.88	0	0	6.63	0	0.86	0.29	0.58	2.31	0.29	0.29	1.44	0	3.17	0	0	4.03	0.58	2.59	0.29	5.76	0	0	0	0.58	0	3.46	0	0.86	19.88	0.86	0.29	0	0.58	9.80	2.31	0.29	0.58	0	1.44	0.29	0	1.44	0.29	4.61	0	0	0	0.58	0	0	0.29	2.88	0	1.73	0	0	6.05	2.02	0.86	3.17	8.36	0.29	0.86	0	2.02	2.59	0	1.15	0.86	0	0.29	0	0	4.32	0	0.29	0.29	0	0.29	0	0	0.58	0.86	0.86	0	0	0.86	1.15	0	0	
JOC-13B-02N	2471	4.38	204	0	0.16	3.28	0.20	0.20	7.37	0	0.32	0.32	0.49	1.70	1.01	0.04	0.20	0.73	1.46	0.53	0	7.45	0.36	1.13	0.28	4.65	0.04	0.08	0.16	1.82	0.04	5.46	0	1.66	23.23	2.63	0.12	0	0.57	7.77	1.50	0.16	0.53	0.40	1.54	0.45	0	1.30	0.16	2.23	0.04	0.08	0	0.08	0.16	0.81	0.24	2.59	0.36	0.97	0	0	6.15	1.54	1.78	1.82	8.22	0.20	0.49	0	1.17	2.55	0.28	0.57	1.09	0.12	0.24	0	0.04	4.13	0.16	0.32	0.04	0	0.40	0	0.08	0.16	0.61	0.12	0.04	0	0.40	0	0.28	0.24	
JOC-13B-03N	5874	4.39	187	0	0.37	3.86	0.10	0.09	8.24	0.03	0.54	0.34	0.65	2.01	0.46	0.07	0.61	0.54	1.31	0.63	0.03	5.98	0.20	1.16	0.27	5.53	0	0.17	0.05	1.38	0.07	5.33	0	1.26	20.34	1.11	0.10	0.02	0.48	7.13	2.16	0.12	1.26	0.51	2.13	0.77	0.02	1.07	0.09	3.20	0.07	0.54	0	0.24	0.24	0.41	0.29	2.84	0.07	1.07	0.17	0.03	7.30	1.14	1.65	2.40	9.79	0.20	0.27	0	2.03	3.17	0.20	1.29	1.38	0	0.43	0.03	0.12	3.23	0.10	0.89	0.02	0.02	0.27	0.03	0.09	0.75	0.80	0.10	0.02	0.03	0.17	0.14	0.14	0.36	
JOC-13B-03O	60	4.37	49	0	0	5.00	0	0	8.33	0	0	0	1.67	1.67	0	0	0	1.67	0	0	0	15.00	0	1.67	0	5.00	0	0	0	0	0	10.00	0	3.33	16.67	0	1.67	0	0	3.33	1.67	0	0	0	1.67	0	0	0	1.67	3.33	0	0	0	0	0	0	0	1.67	0	5.00	0	0	8.33	1.67	1.67	0	8.33	0	1.67	0	1.67	3.33	0	1.67	0	0	0	0	0	3.33	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JOC-13B-04N	3515	4.50	142	0	0.28	4.27	0	0	7.51	0.03	0.23	0.34	0.60	1.91	0.23	0.14	0.54	0.54	1.56	0.80	0.06	8.11	0.17	1.05	0.14	6.15	0	0.20	0	1.34	0.03	5.86	0	1.31	19.09	2.65	0.03	0	0.74	8.31	1.96	0.17	1.05	1.00	1.71	0.28	0	0.63	0.09	3.19	0.03	0.77	0	0.11	0.20	0.54	0.40	2.28	0.14	1.22	0.14	0.03	5.52	1.65	2.36	1.88	9.33	0.14	0.17	0	1.76	3.07	0.14	0.60	1.19	0	0.46	0	0.11	3.02	0.43	1.05	0	0.06	0.43	0.03	0.11	0.74	0.97	0.03	0	0.06	0.11	0.03	0.11	0.28	
JOC-13B-05N	5964	4.09	177	0	0.08	3.81	0.03	0.03	7.90	0.07	0.64	0.49	0.60	2.08	0.45	0.08	0.34	0.54	1.69	0.60	0.10	4.59	0.18	1.54	0.12	10.88	0	0.59	0.08	2.05	0	3.91	0	0.62	16.48	1.02	0.23	0	0.55	7.23	1.44	0.32	0.87	0.59	2.23	0.59	0	0.67	0.08	3.72	0.39	0.67	0	0	0.18	0.79	0.84	3.29	0.08	0.25	0.02	0.02	7.65	3.10	1.88	1.68	8.90	0.05	0.02	0	2.05	2.70	0.07	1.43	0.87	0	0.52	0	0.05	4.16	0.05	0.50	0	0.03	0.29	0	0.18	0.54	1.14	0.07	0	0	0.05	0.02	0.10	0.08	
JOC-13B-05O	527	4.16	194	0	0	3.61	0	0	7.02	0	0.95	0.19	0.38	1.71	0	0.19	0.19	0.38	1.52	0.38	0	5.31	0.38	0.76	0.19	10.06	0	0.57	0.19	1.90	0	3.42	0	0.38	17.65	0.38	0.19	0	0.95	7.78	1.71	0.19	0.76	1.33	2.28	0.38	0	0.95	0.19	4.55	0.57	0.38	0	0.19	0.19	0.95	0.95	3.42	0.19	0	0	0	5.50	2.85	2.28	2.28	10.06	0.57	0.38	0	1.71	2.28	0	1.14	0.38	0	1.14	0	0	4.17	0.19	0	0	0.19	0.19	0	0.19	0	0.95	0	0.38	0	0.38	0	0	0	
JOC-13B-06N	2712	4.46	191	0	0.26	3.87	0	0	8.19	0	0.37	0.55	0.70	2.06	0.29	0.11	0.26	0.63	1.25	0.37	0.04	7.37	0.26	1.33	0.29	6.01	0	0.18	0.07	1.77	0.07	5.72	0	1.40	20.17	2.99	0.22	0	0.33	7.49	1.36	0.29	0.85	0.41	1.66	0.55	0	0.96	0.04	3.58	0	0.41	0	0.26	0.07	0.55	0.48	1.81	0.18	2.51	0.11	0	5.90	2.43	0.52	1.29	8.70	0.18	0.26	0	1.77	2.73	0.04	1.00	0.55	0	0.37	0.04	0.22	3.69	0.33	1.22	0.04	0.07	0.26	0	0.07	0.77	0.92	0.15	0.04	0	0.07	0.07	0.04	0.22	
JOC-13B-07N	6658	4.49	173	0	0.18	3.45	0.05	0.05	8.10	0.03	0.47	0.36	0.68	1.56	0.26	0.11	0.50	0.74	2.81	0.72	0.02	6.76	0.17	0.83	0.24	6.44	0.02	0.17	0.05	1.55	0.03	5.27	0	1.17	18.34	4.25	0.12	0	0.54	7.69	1.59	0.15	1.37	0.65	2.10	0.75	0	0.66	0.15	2.72	0.08	0.66	0	0.09	0.20	0.48	0.39	2.33	0.12	0.65	0.09	0.02	6.67	1.16	1.16	2.00	9.13	0.26	0.41	0	2.30	2.91	0.14	1.23	1.41	0	0.23	0.02	0.17	3.54	0.08	1.38	0	0.02	0.18	0	0.05	1.16	0.84	0.21	0.08	0.05	0.15	0.08	0.11	0.21	
JOC-13B-07O	1005	4.65	227	0	0	4.08	0.10	0.10	7.56	0	0.70	0.40	0.50	1.79	0.30	0.20	0.50	0.90	1.79	0.50	0	6.57	0.20	0.70	0.20	4.08	0	0.10	0	1.49	0	5.27	0	2.09	18.31	5.17	0.10	0	0.40	8.96	2.59	0.10	0.60	0.70	2.29	0.90	0	0.90	0.20	2.79	0.20	0.20	0	0.20	0.20	0.40	0.30	2.99	0.10	1.79	0.10	0	7.36	1.49	1.09	1.49	7.56	0.40	0.10	0	1.89	2.99	0.10	0.50	1.39	0	0.10	0	0.20	1.99	0	1.00	0.20	0	0.10	0	0	0.40	0.30	0	0.10	0	0.10	0.10	0.10	0	
JOC-13B-08N	580	4.76	202	0	0.86	5.00	0	0	6.90	0.17	0.52	0.52	1.21	2.24	0.69	0.17	0.17	0.69	2.07	1.03	0.17	6.72	0.17	1.03	0	5.17	0	0	0	1.72	0	7.59	0	0.69	24.14	1.21	0	0	2.07	7.07	2.24	0.52	0.86	1.03	2.41	0.17	0	0.69	0	2.76	0	0	0	0	0.17	0.17	0.34	1.90	0	0.34	0	0	4.66	1.38	1.90	1.03	9.48	0	0	0	1.03	3.45	0	1.21	0.52	0	0.17	0	0.17	2.59	0.17	1.55	0	0	0.34	0	0.17	0.34	0.86	0	0	0	0	0.17	0.17	0.52	
JOC-13B-09N	6635	4.50	199	0	0.53	3.75	0.02	0.02	8.56	0.03	0.92	0.59	0.71	2.14	0.32	0.09	0.17	0.51	1.70	0.59	0.15	4.02	0.30	1.52	0.23	7.05	0.05	0.21	0.03	1.90	0	8.59	0	0.71	21.72	1.30	0.09	0	0.69	7.39	2.03	0.23	0.54	0.48	3.03	0.57	0	1.18	0.12	2.80	0.05	0.89	0	0.05	0.15	0.47	0.36	2.22	0.15	0.59	0.09	0.03	5.00	1.79	0.98	1.58	9.84	0.12	0.15	0	0.87	3.81	0.11	0.96	0.81	0.02	0.35	0.02	0.08	3.32	0.03	0.93	0	0.02	0.26	0	0.11	0.72	0.78	0.03	0.03	0.02	0.11	0.08	0.15	0.65	
JOC-13B-09O	1040	4.45	179	0	1.83	5.48	0	0	7.50	0	0.48	0.10	0.38	1.73	0.38	0.29	0.10	1.15	1.25	0.38	0.19	4.23	0.19	0.48	0.19	7.79	0.10	0.10	0	2.21	0	8.65	0	0.38	23.27	1.25	0	0	0.77	7.31	2.40	0.29	0.67	0.58	3.17	0.19	0	1.73	0.10	2.40	0	0.10	0	0	0.38	0.29	0	2.88	0.10	0.29	0	0	4.52	2.21	1.06	1.63	10.10	0.38	0.38	0	0.87	4.04	0	0.87	1.06	0	0.29	0	0	4.23	0	0.58	0	0.10	0.29	0	0.10	0.29	1.35	0.19	0.10	0	0.48	0	0.10	1.83	
JOC-13B-10N	4094	4.27	206	0	0.07	2.83	0.05	0.05	8.48	0	0.78	0.56	0.54	1.88	0.51	0.05	0.22	0.49	1.17	0.37	0.20	5.35	0.22	1.07	0.24	7.47	0.02	0.17	0.02	2.10	0.05	5.42	0	0.76	17.37	2.59	0.05	0	0.66	7.16	0.64	0.12	0.66	0.27	1.29	0.44	0	1.59	0.24	3.18	0.37	0.56	0	0.07	0.24	0.54	0.44	2.25	0.17	6.72	0.07	0.02	5.25	5.79	0.66	2.00	6.91	0.10	0.42	0.02	1.42	2.86	0.15	0.73	0.93	0	0.73	0	0.02	3.96	0.27	0.71	0.02	0.02	0.59	0	0.05	0.66	0.88	0.17	0.05	0	0.27	0.02	0	0.22	
JOC-13B-10O	1037	4.52	173	0	0.19	3.57	0	0	7.43	0.10	0.96	0.48	0.29	2.51	0.68	0.10	0.10	0.29	1.25	0.29	0	5.50	0.39	1.06	0.29	5.69	0	0.39	0	1.54	0.10	6.36	0	1.06	19.58	2.51	0.19	0	0.77	7.23	0.58	0.10	0.29	0.10	1.45	1.06	0	0.87	0.39	3.38	0.48	0.19	0	0	0.29	0.39	0	2.12	0.10	5.40	0	0	5.79	5.79	0.77	1.93	6.85	0.10	0.58	0	0.87	2.89	0.10	0.39	1.54	0	0.19	0	0	3.28	0.10	0.19	0	0.10	0.48	0	0.10	0.48	1.16	0	0	0	0.48	0	0.19	0.19	
JOC-13B-11N	3099	4.47	193	0	0.19	3.26	0.03	0.03	7.74	0	0.61	0.35	0.84	1.52	0.19	0.03	0.55	0.45	2.39	0.52	0.10	6.10	0.10	0.87	0.42	5.39	0	0.03	0.03	1.13	0.10	5.71	0	0.52	22.23	3.48	0	0.03	0.55	7.39	0.97	0.55	1.16	0.55	1.55	0.90	0	0.74	0.29	3.00	0.03	0.61	0	0.16	0.13	0.52	0.19	1.84	0.26	2.45	0	0	5.58	2.97	0.97	1.77	8.49	0.16	0.58	0	2.29	2.74	0.29	1.36	1.10	0.03	0.26	0	0.10	3.78	0.32	0.65	0	0.03	0.39	0	0.06	0.45	0.45	0.39	0.03	0	0.26	0.03	0.03	0.16	
JOC-14A-01N	5468	4.39	184	0	0.15	4.11	0.05	0.04	7.46	0.05	0.53	0.40	0.33	1.85	0.33	0.07	0.88	0.64	2.10	0.69	0.04	8.01	0.24	1.26	0.37	5.49	0.02	0.22	0.04	1.55	0.13	4.17	0	1.28	18.56	2.21	0.15	0.02	0.62	7.59	1.26	0.29	0.84	0.69	1.37	0.75	0	1.32	0.15	3.47	0.02	0.42	0	0.13	0.29	0.62	0.49	1.85	0.26	2.93	0.02	0	5.54	4.28	1.34	2.62	6.80	0.27	0.64	0.02	1.52	2.60	0.11	0.66	1.10	0	1.12	0.02	0.07	3.68	0.26	0.38	0	0	0.37	0	0.04	0.35	0.66	0.20	0.09	0.04	0.55	0.07	0.16	0.18	
JOC-14A-01O	755	4.48	200	0	0.13	3.18	0	0	8.74	0	0.66	0.40	0.13	1.85	0.26	0	0.93	0.40	2.78	0.53	0	6.62	0.26	1.59	0.13	6.89	0	0	0	1.46	0	4.64	0	2.25	19.87	2.38	0	0.13	0.26	5.83	1.19	0.53	0.79	0.79	0.66	0.40	0	1.06	0	3.97	0.13	0	0	0.13	0	0.93	0.66	2.12	0	2.25	0	0.13	6.49	4.24	0.93	2.52	8.21	0.40	0.53	0	0.93	1.72	0.13	0.40	1.46	0	0.53	0	0	4.90	0.13	0.66	0	0	0.40	0	0.13	0.40	1.06	0.40	0.26	0	0.40	0.26	0.13	0.13	
